key,value
"Residence/Home",162
"Highway/Road/Alley/Street/Sidewalk",147
"Other/Unknown",38
"Grocery/Supermarket",14
"Park/Playground",9
"Bar/Nightclub",7
"Drug Store/Doctor's Office/Hospital",4
"Shelter-Mission/Homeless",3
"Parking/Drop Lot/Garage",2
"Convenience Store",1
"Liquor Store",1
"Rest Area",1
"Service/Gas Station",1
"Shopping Mall",1
"Specialty Store",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Commercial/Office Building",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Field/Woods",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Hotel/Motel/Etc.",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Restaurant",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Tribal Lands",0
