key,value
"Highway/Road/Alley/Street/Sidewalk",3
"Jail/Prison/Penitentiary/Corrections Facility",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Gambling Facility/Casino/Race Track",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Bar/Nightclub",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Commercial/Office Building",0
"Community Center",0
"Construction Site",0
"Convenience Store",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Drug Store/Doctor's Office/Hospital",0
"Farm Facility",0
"Field/Woods",0
"Government/Public Building",0
"Grocery/Supermarket",0
"Hotel/Motel/Etc.",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Other/Unknown",0
"Park/Playground",0
"Parking/Drop Lot/Garage",0
"Rental Storage Facility",0
"Residence/Home",0
"Rest Area",0
"Restaurant",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Service/Gas Station",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Specialty Store",0
"Tribal Lands",0
